Autor(es);Año;Título;Revista;Volumen;Páginas;DOI;Citado_Por
Diaz BA, Lozano S, Racero J, Guerrero F;2001;Machine cell formation in generalized group technology;Comput Ind Eng;41;227–240;N/A;0
Won Y;2000;New p-median approach to cell formation with alternative process plans;Int J Prod Res;38(1);229–240;N/A;0
Hwang H, Ree P;1996;Routes selection for the cell formation problem with alternative part process plans;Comput Ind Eng;30(3);423–431;N/A;0
Sofianopoulou S;1999;Manufacturing cells design with alternative process plans and/or replicate machines;Int J Prod Res;37(3);707–720;N/A;0
Sarker BR, Li Z;1998;Measuring matrix-based cell formation with alternative routings;J Oper Res Society;49(9);953–965;N/A;0
Venugopal V, Narendran TT;1992;A genetic algorithm approach to the machine-component grouping problem with multiple objectives;Comput Ind Eng;22(4);469–480;N/A;0
Felix TSC, Lau KW, Chan PLY, Choy KL;2005;Two-stage approach for machine-part grouping and cell layout problems;Robot Comput Integr Manufacturing;N/A;N/A;10.1016/j.rcim.2005.04.002;0
Liu, C., Wang, J., and Leung, J.Y.T.;2018;Integrated bacteria foraging algorithm for cellular manufacturing in supply chain considering facility transfer and production planning;Applied Soft Computing;62;602–618;N/A;1
Askin, R.G.;2013;Contributions to the design and analysis of cellular manufacturing systems;International Journal of Production Research;51;6778–6787;N/A;1
Ameli, M.S.J. and Arkat, J.;2008;Cell formation with alternative process routings and machine reliability consideration;The International Journal of Advanced Manufacturing Technology;35;761–768;N/A;1
Bulgak, A.A. and Bektas T.;2009;Integrated cellular manufacturing systems design with production planning and dynamic system reconfiguration;European Journal of Operational Research;192;414–428;N/A;1
Mehdizadeh, E., Niaki S.V.D., and Rahimi, V.;2016;A vibration damping optimization algorithm for solving a new multi-objective dynamic cell formation problem with workers training;Computers & Industrial Engineering;101;35–52;N/A;1
Mahdavi, I., Aalaei, A., Paydar, M.M., and Solimanpur, M.;2010;Designing a mathematical model for dynamic cellular manufacturing systems considering production planning and worker assignment;Computers & Mathematics with Applications;60;1014–1025;N/A;1
Aryanezhad, M.B., Deljoo, V., and Mirzapour Al-e-Hashem, S.;2009;Dynamic cell formation and the worker assignment problem: a new model;The International Journal of Advanced Manufacturing Technology;41;329–342;N/A;1
Bagheri, M. and Bashiri M.;2014;A new mathematical model towards the integration of cell formation with workforce assignment and inter-cell layout problems in a dynamic environment;Applied Mathematical Modelling;38;1237–1254;N/A;1
Javadi, B., Jolai, F., Slomp, J., Rabbani, M., and Tavakkoli-Moghaddam, R.;2013;An integrated approach for the cell formation and layout design in cellular manufacturing systems;International Journal of Production Research;51;6017–6044;N/A;1
Bagheri, M., Sadeghi, S., and Saidi-Mehrabad, M.;2015;A benders' decomposition approach for dynamic cellular manufacturing system in the presence of unreliable machines;Journal of Optimization in Industrial Engineering;17;37–49;N/A;1
Bayram, H. and Sahin, R.;2016;A comprehensive mathematical model for dynamic cellular manufacturing system design and linear programming embedded hybrid solution techniques;Computers & Industrial Engineering;91;10–29;N/A;1
Azadeh, A., Ravanbakhsh, M., Rezaei-Malek, M., Sheikhalishahi, M., and Taheri-Moghaddam, A.;2017;Unique NSGA-II and MOPSO algorithms for improved dynamic cellular manufacturing systems considering human factors;Applied Mathematical Modelling;48;655–672;N/A;1
Liu, C., Wang, J., and Leung, J.Y.T.;2016;Worker assignment and production planning with learning and forgetting in manufacturing cells by hybrid bacteria foraging algorithm;Computers & Industrial Engineering;96;162–179;N/A;1
Mehdizadeh, E. and Rahimi, V.;2016;An integrated mathematical model for solving dynamic cell formation problem considering workforce assignment and inter/intra cell layouts;Applied Soft Computing;42;325–341;N/A;1
Raei, H. and Ghodsi, R.;2013;A bi-objective mathematical model toward dynamic cell formation considering labor utilization;Applied Mathematical Modelling;37;2308–2316;N/A;1
Sakhaii, M., Tavakkoli-Moghaddam, R., Bagheri, M., and Vatani, B.;2016;A robust optimization approach for an integrated dynamic cellular manufacturing system and production planning with unreliable machines;Applied Mathematical Modelling;40;169–191;N/A;1
Nouri, H.;2016;Development of a comprehensive model and BFO algorithm for a dynamic cellular manufacturing system;Applied Mathematical Modelling;40;1514–1531;N/A;1
Albey E, Bilge U;2011;A hierarchical approach to FMS planning and control with simulation-based capacity anticipation;Int J Prod Res;49(11);3319–3342;N/A;2
Altumi A, Philipose A, Taboun S;2000;Reliability optimisation of FMS with spare tooling;Int J Adv Manuf Technol;16(8);551–558;N/A;2
Barlow RE, Proschan F;1996;Mathematical theory of reliability;SIAM, Philadelphia;N/A;N/A;N/A;2
Bilge U, Fırat M, Albey E;2008;A parametric fuzzy logic approach to dynamic part routing under full routing flexibility;Comput Ind Eng;55(1);15–33;N/A;2
Caprihan R, Kumar A, Stecke KE;2006;A fuzzy dispatching strategy for due-date scheduling of FMSs with information delays;Int J Flex Manuf Syst;18(1);29–53;N/A;2
Chan F, Chan H, Lau H;2002;The state of the art in simulation study on FMS scheduling: a comprehensive survey;Int J Adv Manuf Technol;19(11);830–849;N/A;2
Chan F, Chung S, Chan P;2006;Application of genetic algorithms with dominant genes in a distributed scheduling problem in flexible manufacturing systems;Int J Prod Res;44(3);523–543;N/A;2
Chang CC et al;2010;Development of a web-based decision support system for cell formation problems considering alternative process routings and machine sequences;J Softw Eng Appl;3(02);160–166;N/A;2
Deb K, Pratap A, Agarwal S, Meyarivan T;2002;A fast and elitist multiobjective genetic algorithm: NSGA-II;IEEE Trans Evol Comput;6(2);182–197;N/A;2
Defersha FM, Chen M;2012;Jobshop lot streaming with routing flexibility, sequence-dependent setups, machine release dates and lag time;Int J Prod Res;50(8);2331–2352;N/A;2
Delgoshaei A, Ali A, Ariffin MKA, Gomes C;2016;A multi-period scheduling of dynamic cellular manufacturing systems in the presence of cost uncertainty;Comput Ind Eng;100;110–132;N/A;2
Dosdogru AT, Göçken M, Geyik F;2015;Integration of genetic algorithm and Monte Carlo to analyze the effect of routing flexibility;Int J Adv Manuf Technol;81(5);1379–1389;N/A;2
Ebrahimi SB;2018;A bi-objective model for a multi-echelon supply chain design considering efficiency and customer satisfaction: a case study in plastic parts industry;Int J Adv Manuf Technol;95(9–12);3631–3649;N/A;2
Erozan I, Torkul O, Ustun O;2015;Proposal for a decision support software for the design of cellular manufacturing systems with multiple routes;Int J Adv Manuf Technol;76(9);2027–2041;N/A;2
Gaula AK, Sharma RK;2015;Analyzing the effect of maintenance strategies on throughput of a typical fmc (3-m, 1-r);Int J Syst Assur Eng Manag;6(2);183–190;N/A;2
Gen M, Lin L;2014;Multiobjective evolutionary algorithm for manufacturing scheduling problems: state-of-the-art survey;J Intell Manuf;25(5);849–866;N/A;2
Guo Z, Wong WK, Leung S, Fan J;2009;Intelligent production control decision support system for flexible assembly lines;Exp Syst Appl;36(3);4268–4277;N/A;2
Han L, Xing K, Chen X, Xiong F;2018;A Petri net-based particle swarm optimization approach for scheduling deadlock-prone flexible manufacturing systems;J Intell Manuf;29(5);1083–1096;N/A;2
Huang B, Shi XX, Xu N;2012;Scheduling FMS with alternative routings using Petri nets and near admissible heuristic search;Int J Adv Manuf Technol;63(9–12);1131–1136;N/A;2
Hwang C, Yoon K;1981;Multiple attribute decision making: methods and applications;Springer, New York;N/A;N/A;N/A;2
Jabal-Ameli M, Moshref-Javadi M;2014;Concurrent cell formation and layout design using scatter search;Int J Adv Manuf Technol;71;1–22;N/A;2
Koşucuoğlu D, Bilge Ü;2012;Material handling considerations in the FMS loading problem with full routing flexibility;Int J Prod Res;50(22);6530–6552;N/A;2
Kumar MS, Janardhana R, Rao C;2011;Simultaneous scheduling of machines and vehicles in an FMS environment with alternative routing;Int J Adv Manuf Technol;53(1–4);339–351;N/A;2
Leung C, Wong T, Mak KL, Fung RY;2010;Integrated process planning and scheduling by an agent-based ant colony optimization;Comput Ind Eng;59(1);166–180;N/A;2
Liu J, MacCarthy B;1996;The classification of FMS scheduling problems;Int J Prod Res;34(3);647–656;N/A;2
Luo G, Wen X, Li H, Ming W, Xie G;2017;An effective multi-objective genetic algorithm based on immune principle and external archive for multi-objective integrated process planning and scheduling;Int J Adv Manuf Technol;91(9–12);3145–3158;N/A;2
Maheshwari S, Sharma P, Jain M;2010;Unreliable flexible manufacturing cell with common cause failure;Int J Eng Sci Technol;2(9);4701–4716;N/A;2
Nejad MG, Shavarani SM, Vizvari B, Barenji RV;2018;Trade-off between process scheduling and production cost in cyclic flexible robotic cells;Int J Adv Manuf Technol;96(1–4);1081–1091;N/A;2
Nguyen HP, Pham VD, Ngo NV;2018;Application of TOPSIS to Taguchi method for multi-characteristic optimization of electrical discharge machining with titanium powder mixed into dielectric fluid;Int J Adv Manuf Technol;98(5);1179–1198;https://doi.org/10.1007/s00170-018-2321-2;2
Nonaka Y, Erdos G, Kis T, Nakano T, Váncza J;2012;Scheduling with alternative routings in CNC workshops;CIRP Ann Manuf Technol;61(1);449–454;N/A;2
Nsakanda AL, Diaby M, Price WL;2010;A price-directed decomposition approach for solving large-scale capacitated part-routing problems;Int J Prod Res;48(14);4273–4295;N/A;2
Ozmutlu S, Harmonosky CM;2005;A real-time methodology for minimizing mean flowtime in FMSs with routing flexibility: threshold-based alternate routing;Eur J Oper Res;166(2);369–384;N/A;2
Pajoutan M, Golmohammadi A, Seifbarghy M;2014;CMS scheduling problem considering material handling and routing flexibility;Int J Adv Manuf Technol;72(5–8);881–893;N/A;2
Philip A, Sharma RK;2013;A stochastic reward net approach for reliability analysis of a flexible manufacturing module;Int J Syst Assur Eng Manag;4(3);293–302;N/A;2
Pitts R, Ventura J;2009;Scheduling flexible manufacturing cells using tabu search;Int J Prod Res;47(24);6907–6928;N/A;2
Qu S, Zhao J, Wang T;2017;Experimental study and machining parameter optimization in milling thin-walled plates based on NSGA-II;Int J Adv Manuf Technol;89(5–8);2399–2409;N/A;2
Raj T, Shankar R, Suhaib M;2007;A review of some issues and identification of some barriers in the implementation of FMS;Int J Flex Manuf Syst;19(1);1–40;N/A;2
Rifai AP, Dawal SZM, Zuhdi A, Aoyama H, Case K;2016;Reentrant FMS scheduling in loop layout with consideration of multi loading-unloading stations and shortcuts;Int J Adv Manuf Technol;82(9–12);1527–1545;N/A;2
Rifai AP, Nguyen HT, Aoyama H, Dawal SZM, Masruroh NA;2018;Non-dominated sorting biogeography-based optimization for bi-objective reentrant flexible manufacturing system scheduling;Appl Soft Comput;62;187–202;N/A;2
Rossi A, Dini G;2007;Flexible job-shop scheduling with routing flexibility and separable setup times using ant colony optimisation;Robot Comput Integr Manuf;23(5);503–516;N/A;2
Savsar M;2005;Performance analysis of an FMS operating under different failure rates and maintenance policies;Int J Flex Manuf Syst;16(3);229–249;N/A;2
Savsar M;2006;Effects of maintenance policies on the productivity of flexible manufacturing cells;Omega;34(3);274–282;N/A;2
Shewchuk JP;1999;A set of generic flexibility measures for manufacturing applications;Int J Prod Res;37(13);3017–3042;N/A;2
Sormaz D, Patel C;2016;Development and evaluation of feature-focused dynamic routing policy;Int J Adv Manuf Technol;99(1);15–28;https://doi.org/10.1007/s00170-016-8984-7;2
Souier M, Sari Z;2014;Impacts of scheduling decisions based on PSO algorithm and dispatching rules on FMS performances;Int J Appl Metaheuristic Comput (IJAMC);5(2);22–38;N/A;2
Souier M, Sari Z, Hassam A;2013;Real-time rescheduling metaheuristic algorithms applied to FMS with routing flexibility;Int J Adv Manuf Technol;64(1–4);145–164;N/A;2
Sowmiya N, Gupta NS, Valarmathi B, Ponnambalam S;2017;CORA-a heuristic approach to machine-part cell formation in the presence of alternative process plans;Int J Adv Manuf Technol;91(9–12);4275–4297;N/A;2
Srinivas N, Deb K;1994;Muiltiobjective optimization using nondominated sorting in genetic algorithms;Evol Comput;2(3);221–248;N/A;2
Sun Y;1994;Simulation for maintenance of an FMS: an integrated system of maintenance and decision-making;Int J Adv Manuf Technol;9(1);35–39;N/A;2
Taha Z, Rostam S;2012;A hybrid fuzzy AHP-PROMETHEE decision support system for machine tool selection in flexible manufacturing cell;J Intell Manuf;23(6);2137–2149;N/A;2
Tavakkoli-Moghaddam R, Ranjbar-Bourani M, Amin GR, Siadat A;2012;A cell formation problem considering machine utilization and alternative process routes by scatter search;J Intell Manuf;23(4);1127–1139;N/A;2
Tian M, Gong X, Yin L, Li H, Ming W, Zhang Z, Chen J;2017;Multi-objective optimization of injection molding process parameters in two stages for multiple quality characteristics and energy efficiency using Taguchi method and NSGA-II;Int J Adv Manuf Technol;89(1–4);241–254;N/A;2
Venkatadri U, Elaskari SM, Kurdi R;2017;A multi-commodity network flow-based formulation for the multi-period cell formation problem;Int J Adv Manuf Technol;91(1–4);175–187;N/A;2
Vineyard M, Amoako-Gyampah K, Meredith JR;2000;An evaluation of maintenance policies for flexible manufacturing systems: a case study;Int J Oper Prod Manag;20(4);409–426;N/A;2
Wang SJ, Xi Lf, Zhou BH;2008;FBS-enhanced agent-based dynamic scheduling in FMS;Eng Appl Artif Intell;21(4);644–657;N/A;2
Wang YC, Chen T, Chiang H, Pan HC;2016;A simulation analysis of part launching and order collection decisions for a flexible manufacturing system;Simul Modell Pract Theory;69;80–91;N/A;2
Wong T, Leung C, Mak KL, Fung RY;2006;Dynamic shopfloor scheduling in multi-agent manufacturing systems;Exp Syst Appl;31(3);486–494;N/A;2
Wu L, Suzuki S;2015;Cell formation design with improved similarity coefficient method and decomposed mathematical model;Int J Adv Manuf Technol;79(5–8);1335–1352;N/A;2
Xu X, Zhang W, Ding X;2018;Modular design method for filament winding process equipment based on GGA and NSGA-IIi;Int J Adv Manuf Technol;94(5–8);2057–2076;N/A;2
Yu X, Ram B;2006;Bio-inspired scheduling for dynamic job shops with flexible routing and sequence-dependent setups;Int J Prod Res;44(22);4793–4813;N/A;2
Zeballos L, Quiroga O, Henning GP;2010;A constraint programming model for the scheduling of flexible manufacturing systems with machine and tool limitations;Eng Appl Artif Intell;23(2);229–248;N/A;2
Zhang W, Gen M, Jo J;2014;Hybrid sampling strategy-based multiobjective evolutionary algorithm for process planning and scheduling problem;J Intell Manuf;25(5);881–897;N/A;2
Wemmerlo ̈v U, Hyer NL;1989;Cellular manufacturing in the U.S. industry: a survey of users;Int J Prod Res;27;1511–1530;N/A;3
Karoum B, Elbenani B;2016;A hybrid clonal algorithm for the cell formation problem with variant number of cells;Prod Eng;N/A;N/A;https://doi.org/10.1007/s11740-016-0706-3;3
Dimopoulos C, Zalzala AM;2000;Recent developments in evolutionary computation for manufacturing optimization: problems, solutions, and comparisons;IEEE Trans Evol Comput;4;93–113;N/A;3
Kusiak A;1987;The generalized group technology concept;Int J Prod Res;25;561–569;N/A;3
Ameli JMS, Arkat J, Barzinpour F;2008;Modelling the effects of machine breakdowns in the generalized cell formation problem;Int J Adv Manuf Technol;39;838–850;N/A;3
Karoum B, Elbenani B, El Khattabi N, et El Imrani A A;2018;Manufacturing Cell Formation Problem Using Hybrid Cuckoo Search Algorithm;Recent developments in metaheuristics;62;151–162;N/A;3
Chandrasekharan MP, Rajagopalan R;1987;ZODIAC—an algorithm for concurrent formation of part-families and machine-cells;Int J Prod Res;25;835–850;N/A;3
Elbenani B, Ferland JA;2012;An exact method for solving the manufacturing cell formation problem;Int J Prod Res;50;4038–4045;N/A;3
Ameli JMS, Arkat J;2008;Cell formation with alternative process routings and machine reliability consideration;Int J Adv Manuf Technol;35;761–768;N/A;3
Paydar MM, Saidi-Mehrabad M, Teimoury E;2014;A robust optimisation model for generalised cell formation problem considering machine layout and supplier selection;Int J Comput Integr Manuf;27;772–786;N/A;3
Kumar S, Sharma RK;2014;Cell formation heuristic procedure considering production data;Int J Prod Manag Eng;2;75–84;N/A;3
Alhourani F;2013;Clustering algorithm for solving group technology problem with multiple process routings;Comput Ind Eng;66(4);781–790;N/A;3
Alhourani F;2016;Cellular manufacturing system design considering machines reliability and parts alternative process routings;Int J Prod Res;54(3);846–863;N/A;3
Ameli JMS, Arkat J, Sakri MS;2008;Applying metaheuristics in the generalized cell formation problem considering machine reliability;J Chin Inst Ind Eng;25(4);261–274;N/A;3
Rodrigues LCA, Weller TR;2008;Cell formation with alternative routings and capacity considerations: a hybrid tabu search approach;MICAI 2008: Advances in Artificial Intelligence;N/A;482–491;N/A;3
Liu CG, Yin Y, Yasuda K, Lian J;2010;A heuristic algorithm for cell formation problems with consideration of multiple production factors;Int J Adv Manuf Technol;46;1201–1213;N/A;3
Solimanpur M, Saeedi S, Mahdavi I;2010;Solving cell formation problem in cellular manufacturing using ant-colony-based optimization;Int J Adv Manuf Technol;50;1135–1144;N/A;3
Chung S, Wu T, Chang C;2011;An efficient Tabu search algorithm to the cell formation problem with alternative routings and machine reliability considerations;Comput Ind Eng;60;7–15;N/A;3
Solimanpur M, Foroughi A;2011;A new approach to the cell formation problem with alternative processing routes and operation sequence;Int J Prod Res;49;5833–5849;N/A;3
Kao Y, Lin CH;2012;A PSO-based approach to cell formation problems with alternative process routings;Int J Prod Res;50(15);4075–4089;N/A;3
Ozcelik F, Sarac T;2012;A genetic algorithm extended modified sub-gradient algorithm for cell formation problem with alternative routings;Int J Prod Res;50;4025–4037;N/A;3
Tavakkoli-Moghaddam R, Ranjbar-Bourani M, Amin GR, Siadat A;2012;A cell formation problem considering machine utilization and alternative process routes by Scatter search;J Intell Manuf;23;1127–1139;N/A;3
Saeidi S, Solimanpur M, Mahdavi I, Javadian N;2014;A multi-objective genetic algorithm for solving cell formation problem using a fuzzy goal programming approach;Int J Adv Manuf Technol;70;1635–1652;N/A;3
Lian J, Liu C, Li W, Evans S, Yin Y;2014;Formation of independent manufacturing cells with the consideration of multiple identical machines;Int J Prod Res;52;1363–1400;N/A;3
Vin E, Delchambre A;2014;Generalized cell formation: iterative versus simultaneous resolution with grouping genetic algorithm;J Intell Manuf;25;1113–1124;N/A;3
Deep K, Singh PK;2015;Design of robust cellular manufacturing system for dynamic part population considering multiple processing routes using genetic algorithm;J Manuf Syst;35;155–163;N/A;3
Jouzdani J, Barzinpour F, Shafia MA, Fathian M;2014;Applying simulated annealing to a generalized cell formation problem considering alternative routings and machine reliability;Asia-Pac J Oper Res;31;1450021. https://doi.org/10.1142/S0217595914500213;N/A;3
Huang H, Feng H, Pan E, Xi L;2016;A hybrid discrete Cuckoo Search algorithm for cell formation problem with alternative process routings and operation sequence;2016 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM);N/A;N/A;N/A;3
Karoum B, Elbenani YB;2017;A clonal selection algorithm for the generalized cell formation problem considering machine reliability and alternative routings;Prod Eng;11;545–556;N/A;3
Mohammadi M, Forghani K;2017;A hybrid method based on genetic algorithm and dynamic programming for solving a biobjective cell formation problem considering alternative process routings and machine duplication;Appl Soft Comput;53;97–110;N/A;3
Rezazadeh H, Khiali-Miab A;2017;A two-layer genetic algorithm for the design of reliable cellular manufacturing systems;Int J Ind Eng Comput;8;315–332;N/A;3
Adenso-Diaz BL, Ozano S, Racero J, Guerrero F;2001;Machine cell formation in generalized group technology;Comput Ind Eng;41;227–240;N/A;3
Yin Y, Yasuda K;2002;Manufacturing cells’ design in consideration of various production factors;Int J Prod Res;40;885–906;N/A;3
Jayaswal S, Adil GK;2004;Efficient algorithm for cell formation with sequence data, machine replications and alternative process routings;Int J Prod Res;42;2419–2433;N/A;3
Ouk Kim C, Baek JG, Baek JK;2004;A two-phase heuristic algorithm for cell formation problems considering alternative part routes and machine sequences;Int J Prod Res;42;3911–3927;N/A;3
Hu L, Yasuda K;2006;Minimising material handling cost in cell formation with alternative processing routes by grouping genetic algorithm;Int J Prod Res;44;2133–2167;N/A;3
Spiliopoulos K, Sofianopoulou S;2007;Manufacturing cells design with alternative routings in generalized group technology: reducing the complexity of the solution space;Int J Prod Res;45;1355–1367;N/A;3
Sormaz DN, Rajaraman SN;2008;Problem space search algorithm for manufacturing cell formation with alternative process plans;Int J Prod Res;46(2);345–369;N/A;3
Bhide P, Bhandwale A, Kesavadas T;2005;Cell formation using multiple process plans;J Intell Manuf;16;53–65;N/A;3
Yang XS, Deb S;2009;Cuckoo search via Le ́vy flights;World congress on nature and biologically inspired computing, NaBIC 2009;N/A;210–214;N/A;3
Valian E, Mohanna S, Tavakoli S;2011;Improved cuckoo search algorithm for feed forward neural network training;Int J Artif Intell Appl;2;36–43;N/A;3
Durgun I, Yildiz AR;2012;Structural design optimization of Vehicle components using cuckoo search algorithm;Mater Test;54;185–188;N/A;3
Gherboudj A, Layeb A, Chikhi S;2012;Solving 0–1 knapsack problems by a discrete binary version of cuckoo search algorithm;Int J Bio-Inspired Comput;4;229–236;N/A;3
Abdelaziz AY, Ali ES;2015;Cuckoo search algorithm based load frequency controller design for nonlinear interconnected power system;Int J Electr Power Energy Syst;73;632–643;N/A;3
Chaine S, Tripathy M;2015;Design of an optimal SMES for automatic generation control of two-area thermal power system using cuckoo search algorithm;J Electr Syst Inf Technol;2;1–13;N/A;3
Ramakrishnan B, Sreedivya SR, Selvi M;2015;Adaptive routing protocol based on cuckoo search algorithm (ARP-CS) for secured vehicular ad hoc network (VANET);Int J Comput Netw Appl (IJCNA);2(4);173–178;N/A;3
Nguyen TT, Truong AV;2015;Distribution network reconfiguration for power loss minimization and voltage profile improvement using cuckoo search algorithm;Int J Electr Power Energy Syst;68;233–242;N/A;3
Ouaarab A, Ahı ̈od B, Yang X S, Abbad M;2014;Discrete cuckoo search algorithm for job shop scheduling problem;2014 IEEE International Symposium on Intelligent Control (ISIC);N/A;1872–1876;N/A;3
Majumder A, Laha D;2016;A new cuckoo search algorithm for 2-machine robotic cell scheduling problem with sequence-dependent setup times;Swarm Evol Comput;28;131–143;N/A;3
Tran CD, Dao TT, Vo VS, Nguyen TT;2015;Economic load dispatch with multiple fuel options and valve point effect using cuckoo search algorithm with different distributions;Int J Hybrid Inf Technol;8;305–316;N/A;3
Sekhar P, Mohanty S;2016;An enhanced cuckoo search algorithm based contingency constrained economic load dispatch for security enhancement;Int J Electr Power Energy Syst;75;303–310;N/A;3
Suresh S, Lal S;2016;An efficient cuckoo search algorithm based multilevel thresholding for segmentation of satellite images using different objective functions;Expert Syst Appl;58;184–209;N/A;3
Pare S, Kumar A, Bajaj V, Singh GK;2016;A multilevel color image segmentation technique based on cuckoo search algorithm and energy curve;Appl Soft Comput;47;76–102;N/A;3
Jia B, Yu B, Wu Q, Yang X, Wei C, Law R, Fu S;2016;Hybrid local diffusion maps and improved cuckoo search algorithm for multiclass dataset analysis;Neurocomputing;189;106–116;N/A;3
Gonc ̧alves JF, Resende MGC;2004;An evolutionary algorithm for manufacturing cell formation;Comput Ind Eng;47;247–273;N/A;3
Moon YB, Chi SC;1992;Generalized part family formation using neural network techniques;J Manuf Syst;11;149–159;N/A;3
Sankaran S, Kasilingam RG;1990;An integrated approach to cell formation and part routing in group technology manufacturing systems;Eng Optim;16;235–245;N/A;3
Lee MK, Luong HS, Abhary K;1997;A genetic algorithm based cell design considering alternative routing;Comput Integr Manuf Syst;10;93–108;N/A;3
Sofianopoulou S;1999;Manufacturing cells design with alternative process plans and/or replicate machines;Int J Prod Res;37;707–720;N/A;3
Nagi R, Harhalakis G, Proth JM;1990;Multiple routings and capacity consideration in group technology applications;Int J Prod Res;28;1243–1257;N/A;3
Won Y, Kim S;1997;Multiple criteria clustering algorithm for solving the group technology problem with multiple process routings;Comput Ind Eng;32;207–220;N/A;3
Abernethy, R. B.;1996;The New Weibull Handbook;Self published by Robert B. Abernethy, North Palm Beach, FL;N/A;N/A;N/A;4
Akturk, M. S., and A. Turkcan;2000;Cellular Manufacturing System Design Using a Holonistic Approach;International Journal of Production Research;38 (10);2327–2347;10.1080/00207540050028124;4
Arkat, A., M. F. Hosseinabadi Farahani, and F. Ahmadizar;2012;Multi-Objective Genetic Algorithm for Cell Formation Problem considering Cellular Layout and Operations Scheduling;International Journal of Computer Integrated Manufacturing;25 (7);625–635;10.1080/0951192X.2012.665182;4
Arkat, A., F. Naseri, and F. Ahmadizar;2011;A Stochastic Model for Generalized Cell Formation Problem Considering Machine Reliability;International Journal of Computer Integrated Manufacturing;24 (12);1095–1102;10.1080/0951192X.2011.627944;4
Arkat, J., M. Saidi, and B. Abbasi;2007;Applying Simulated Annealing to Cellular Manufacturing System Design;The International Journal of Advanced Manufacturing Technology;N/A;32: 531–536;10.1007/s00170-005-0358-5;4
